Team_Id,Team_Name,Average Salary,2016 ESPN BPI,2015 ESPN BPI,2014 ESPN BPI,2013 ESPN BPI,2012 ESPN BPI,Moore 2016,Moore 2015,Moore 2014,Moore 2013,Moore 2012,Moore 2011,Kenpom 2016,Kenpom 2015,Kenpom 2014,Kenpom 2013,Kenpom 2012
1181,Duke,6364220,87.4,89.5,83.7,88.5,85.4,50.62,44.15,44.61,,,,0.1869,0.1101,0.0793,,
1257,Louisville,6101402.8,87,82.9,88.3,91.3,82.5,58.04,64.31,61.55,69.16,66.06,68.99,0.324,0.3965,0.2949,0.6564,0.4156
1246,Kentucky,5314623,83,94.5,85.5,73,92.4,70.37,70.2,67.74,74.62,73.88,71.99,0.7076,0.6362,0.5382,0.7502,0.7442
1242,Kansas,4433052.4,86.4,85.3,86.7,85.5,87.7,72.71,76,74,78.98,79.73,81.99,0.7187,0.7581,0.6669,0.7716,0.8455
1277,Michigan St,3752921.8,87.4,81.4,85.1,83.7,87.4,48.45,45.64,50.92,46.59,46.92,50.2,0.2143,0.1225,0.1932,0.091,0.0677
1196,Florida,3705291,77.6,75,90.1,89,80.8,50.43,54.58,48.71,46.41,51.15,56.96,0.2503,0.2977,0.1988,0.095,0.1087
1326,Ohio St,3071400,70.7,81.4,82.8,84.8,88.6,70.58,66.76,67.3,67.61,64.39,61.27,0.677,0.5694,0.4698,0.5402,0.4027
1112,Arizona,2729527.75,84.4,90.9,91.1,83,74.5,48.68,43.2,47.54,46.92,49.48,43.1,0.2189,0.0719,0.1565,0.102,0.0896
1231,Indiana,2728750,82.6,72.5,68.5,88,82.1,,,,,,,,,,,
1417,UCLA,2678493.25,71.4,73.5,83.2,77.7,68.7,56.1,64.48,67.55,58.12,64.6,65.29,0.1858,0.4426,0.6188,0.2308,0.4681
1329,Oklahoma St,2458333.333,64.8,71.8,81.8,81.4,63.2,52.88,55.67,53.2,61.74,61.26,65.73,0.2769,0.2861,0.1163,0.274,0.2809
1400,Texas,2435000,79.1,77.5,73,62.5,78,84.56,92.09,88.35,81.65,78.18,84.4,0.8938,0.9649,0.9519,0.8961,0.7817
1452,West Virginia,2363333.333,85.2,78.6,68.8,58.4,73.6,69.34,73.39,76.11,74.09,65.96,73.58,0.6923,0.7444,0.7859,0.7462,0.3331
1328,Oklahoma,2350000,86.5,83.1,79.2,74.4,62.7,69.39,59.66,61.84,60.37,65.12,65.24,0.8181,0.3658,0.3589,0.3431,0.4255
1437,Villanova,2342143.75,88.5,89.6,85,70.6,64.9,43.34,47.57,49.38,55.65,50.12,46.64,0.0965,0.1435,0.1479,0.2482,0.1074
1458,Wisconsin,2319135.4,77.7,92,85.8,79.2,81.7,75.47,79.12,77.42,74.63,69.09,73.66,0.7447,0.825,0.7708,0.6959,0.5784
1268,Maryland,2252488,82.7,76.9,75.1,73.5,60.5,54.57,51.92,65.59,68.09,64.98,66.21,0.3038,0.2359,0.4791,0.5154,0.4026
1116,Arkansas,2219794,71.2,78.9,75,65.6,61.4,,,,,,,,,,,
1207,Georgetown,2190754,70.2,78.9,67.4,82.2,80.2,60.88,59.26,62.75,66.25,55.71,53.08,0.3698,0.2914,0.3416,0.5006,0.1869
1266,Marquette,2170322.333,66.9,61.7,68,80.4,80.7,64.81,68.99,68.54,65.81,70.64,68.54,0.4434,0.5293,0.5717,0.3828,0.5432
1124,Baylor,2133849.667,77.7,80.1,76.2,74.5,81.7,,,,,,,,,,,
1276,Michigan,2096998,74.7,66,81.8,84.1,75.9,54.94,51.42,54.37,53.31,61.94,67.73,0.3083,0.1796,0.2279,0.1719,0.3842
1163,Connecticut,2083333.333,81,68.9,82.3,75.6,76,67.18,57.23,56.03,61.01,63.29,65.89,0.5838,0.2688,0.1721,0.2976,0.3834
1345,Purdue,2014693,83.4,74.1,63.3,61.7,73.8,80.48,80.83,83.41,86.15,84.37,76.33,0.863,0.8851,0.8677,0.8628,0.9024
1438,Virginia,1999750,88.4,90,86.9,74.3,77.9,63.86,67.87,71.47,75.25,78.34,80.02,0.5805,0.5559,0.6819,0.7895,0.8236
1374,SMU,1911894,85.1,78.6,78.9,50.2,49.3,50.45,48.89,50.28,56.21,58.86,58.1,0.2248,0.118,0.1042,0.2436,0.2878
1332,Oregon,1900000,81.4,73.3,81.6,76.9,70.2,53.76,53.77,51.54,47.02,50.36,57.34,0.1598,0.142,0.1122,0.0563,0.0525
1338,Pittsburgh,1878544.333,75.9,63.8,83.4,83,66.8,,,,,,,,,,,
1385,St John's,1874917,45.2,70.9,71.9,63.2,53.6,72.59,76.54,74.06,76.51,68.47,72.64,0.698,0.7978,0.7135,0.7916,0.4646
1435,Vanderbilt,1844471,81,75.3,62.2,61.3,80.2,63.08,72.31,71.4,75.19,64.48,77.95,0.2953,0.6199,0.5462,0.6656,0.2617
1104,Alabama,1820000,67.7,70,64.6,69.5,78,62.62,61.13,71.07,65.49,64.6,68.21,0.3891,0.3343,0.5635,0.5338,0.4444
1301,NC State,1817250,70,75,70.2,80.1,54.8,58.59,66.21,61.56,65.27,68.09,63.03,0.3755,0.5659,0.3512,0.3613,0.5803
